"alpha_1","beta_1","p_1","alpha_2","beta_2","p_2","alpha_3","beta_3","p_3"
51.9215482336579,40.4971813193129,0.349982024624581,113.628758224484,38.6972166034168,0.378314696534755,5.01428414931445,0.556479753197394,0.271703278840663
52.4669119435603,40.6132410078844,0.358873306591811,112.745442658617,38.887262052042,0.351544515591493,4.65730053033174,0.603530872977813,0.289582177816696
51.3677524365169,39.6512355499874,0.352211270105811,112.851270116575,38.5075387772657,0.358426289341084,5.34927868695585,0.586897263999318,0.289362440553105
50.2941106958315,38.6451077566541,0.357195789730054,109.01936315997,36.699502179789,0.378846299851198,6.50726647814565,0.576688877139864,0.263957910418747
51.3386620631374,39.2917205318091,0.364250977244891,109.037599201539,36.7473430628436,0.352967208134879,5.41473600997623,0.548219264002135,0.282781814620229
50.4879824827836,39.0655510649665,0.357497434723112,108.768891141397,36.7647321409621,0.378749516677603,4.65159657390969,0.486083323810257,0.263753048599286
50.1135147155035,38.8723937418108,0.363582583139977,104.486569361885,35.3897456763309,0.366154868385629,4.82761356332446,0.548817690566053,0.270262548474394
50.6319183370683,39.2695612408835,0.363189320076421,99.9209931839929,34.4431911545748,0.372914310423183,5.66151560665399,0.542388233433239,0.263896369500397
49.5650719296068,38.0374125157878,0.376961406123213,103.553754159337,34.7416547909816,0.366672247730641,5.89009767664095,0.551756418637674,0.256366346146145
48.3790171222547,37.0506826469067,0.376433912048653,103.114243363952,34.611743619858,0.351450040093737,5.08541650428268,0.555961501032735,0.272116047857609
48.3074046655655,37.2308915856331,0.362495072350357,102.313933198123,34.9033026528589,0.365800813761743,5.33561276603491,0.589246485385398,0.2717041138879
48.0356501538224,37.5297681340365,0.378537015591466,103.586541168315,34.6504140819753,0.354110144042137,5.07574766947399,0.545513123276133,0.267352840366397
48.4659308933135,37.3418190106658,0.374303046715217,98.5710957983799,33.6827252463832,0.359443139684197,6.43866430899383,0.520720070218991,0.266253813600586
49.2229418235522,38.470517607201,0.367971475095858,101.294345757565,34.3628338953146,0.376811969644933,5.94121402920402,0.516084854078296,0.255216555259209
49.1602260295955,37.9807906670905,0.358391097042656,102.352678102805,34.8406697001167,0.363998321140038,5.2253057973699,0.571537832972296,0.277610581817306
49.7903091989989,38.5664445694125,0.361957826725668,104.686928088829,35.7609953305442,0.356570165021883,6.8471125646021,0.565535009671693,0.281472008252449
48.9452347500665,37.1087578478195,0.36748030967435,107.715680425365,35.8877295296181,0.366292383966798,5.2973354370824,0.528087377947283,0.266227306358853
48.3949755775256,37.491403282725,0.360594955987039,107.829619106237,36.7029004146003,0.359731428808487,4.29523951824121,0.509738406247391,0.279673615204473
48.8050488818847,37.393628305758,0.356651055773738,107.512504515686,36.6879945033427,0.362947074607323,5.26409242425983,0.568039080976275,0.280401869618939
48.2227669627674,37.367366786894,0.356699991100706,110.14910313131,37.0666070979379,0.351564978602324,5.68783940097516,0.544075442390872,0.291735030296969
49.0633104663925,38.2869825579388,0.396565009499677,108.913647557668,36.9104426978377,0.372262829597482,6.70579458947306,0.553366644446043,0.231172160902842
49.0304283661119,37.5281101216307,0.369727494306858,107.464704616693,36.5429555699546,0.362383118483488,6.13543674248997,0.496113865893605,0.267889387209654
49.6938676541993,38.0595712493774,0.368427451656482,106.692657295908,36.5691207979244,0.359899722260021,6.47907272774781,0.615133788457297,0.271672826083497
48.2356626761032,36.9466533389022,0.37064059990583,106.324698605574,36.1451926367592,0.346147965286281,5.81391136001566,0.532544407262719,0.283211434807889
47.9712313056766,36.7482707717258,0.383810608420208,107.595200376709,36.6136387513183,0.34840546923986,4.9748990101119,0.529001732102476,0.267783922339931
46.9311595610934,35.7853836890282,0.359611925943751,106.47569881511,35.6926677289177,0.379326537212015,5.11368099285299,0.525542151311307,0.261061536844234
45.8961694787318,35.5693877710646,0.374212254224807,105.522542935008,35.70831154686,0.350835525586771,4.85592198898996,0.521314720084559,0.274952220188422
45.2386357482059,34.5386617110569,0.370990538241409,106.491248365867,35.7294084184392,0.350552166075492,4.76411565969954,0.548408775627087,0.278457295683099
45.893838259963,35.3022954693531,0.379697431039013,103.441442192751,35.0706626857016,0.348544349725574,5.35959945284947,0.53596087711404,0.271758219235413
45.7646213347646,35.804544950426,0.360408892263319,101.786909139456,34.8255072352885,0.370966076763973,6.01708638076845,0.555601010998292,0.268625030972707
46.7356972703264,35.725885372341,0.352379489030238,104.486254378185,34.8348087326169,0.391451786231644,5.74984245472461,0.501270457092145,0.256168724738118
47.1282129878194,36.2818620068294,0.358464039082011,102.230839830333,34.2609546147638,0.386251305768361,5.74071901629126,0.543230467584764,0.255284655149628
46.6272327987801,35.9324581792145,0.368742306578163,99.7970957270421,33.8429311067539,0.364792247337524,6.16851665458643,0.625037651875338,0.266465446084313
48.1239902745755,36.4274917817956,0.348798090121214,98.4339411401638,33.1330955231894,0.349213468560508,5.40362312040571,0.543370147006838,0.301988441318279
47.6391845171145,36.8387809610186,0.363162721339994,98.6339269986576,32.8139923161535,0.371476980097486,5.75803938392845,0.542306660291705,0.265360298562519
