"observation","x","map_component","component_1","component_2","component_3"
1194,0.78201,2,0.000149272117930093,0.912326740270104,0.0875239876119664
1195,0.77951,2,0.000178140012565212,0.918457963810085,0.0813638961773493
1196,0.64906,1,0.780507981560349,0.137234824584925,0.082257193854726
1197,0.90308,3,3.45098084127681e-12,2.08435249927585e-05,0.999979156471556
1198,0.8927,3,4.93522161283613e-11,0.000180154150484661,0.999819845800163
1199,0.78397,2,0.000129982210858297,0.906895941398141,0.092974076391001
1200,0.58475,1,0.978877945576629,0.000511414476576595,0.0206106399467947
1201,0.78012,2,0.000170612320744797,0.917038679530323,0.0827907081489317
1202,0.81623,2,1.20793477673326e-05,0.65661168295521,0.343376237697022
1203,0.56184,1,0.983786602980235,5.96428006857055e-05,0.0161537542190796
1204,0.52626,1,0.984917516239409,1.99871296153174e-06,0.0150804850476294
1205,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1206,0.78455,2,0.000124770950469153,0.905173789914625,0.0947014391349061
1207,0.65515,1,0.699409395747722,0.208176883734284,0.0924137205179932
1208,0.99846,3,1.51759022181636e-60,3.59700269589072e-49,1
1209,0.46783,1,0.969972419462219,6.92829486895971e-09,0.0300275736094865
1210,0.60857,1,0.964100113835782,0.00455180931032444,0.0313480768538931
1211,0.54334,1,0.985113159317576,1.0277209583333e-05,0.0148765634728403
1212,0.68601,2,0.180447060534427,0.727483904922982,0.0920690345425915
1213,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1214,0.86833,3,9.52309784889914e-09,0.0101760181902749,0.989823972286627
1215,0.79356,2,6.6062494386522e-05,0.870029148576198,0.129904788929416
1216,0.49152,1,0.979835370037488,6.94938995292281e-08,0.0201645604686125
1217,0.99285,3,1.21498100531342e-42,1.33663613116633e-32,1
1218,0.73959,2,0.00328769040730598,0.949766640859993,0.0469456687327015
1219,0.70857,2,0.0353006532414187,0.902663716855569,0.0620356299030127
1220,0.76462,2,0.000516663422179415,0.941509182252377,0.0579741543254432
1221,0.57735,1,0.981018391550144,0.000256514019240895,0.0187250944306154
