"observation","hour","map_component","prob_component_1","prob_component_2","prob_component_3"
523,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
524,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
525,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
526,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
527,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
528,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
529,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
530,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
531,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
532,1,"3",0.757679004928895,0.216443111013307,0.0258778840577979
533,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
534,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
535,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
536,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
537,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
538,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
539,0,"2",0.372269283894856,0.483036385732548,0.144694330372596
540,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
541,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
542,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
543,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
544,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
545,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
546,18,"2",0.00407989916343917,0.248416448802589,0.747503652033972
547,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
548,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
549,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
550,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
551,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
552,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
553,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
554,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
555,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
556,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
557,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
558,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
559,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
560,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
561,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
562,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
563,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
564,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
565,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
566,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
567,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
568,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
569,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
570,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
571,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
572,9,"2",0.773570134385657,0.203414340833268,0.0230155247810753
573,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
574,1,"2",0.757679004928895,0.216443111013307,0.0258778840577979
575,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
576,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
577,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
578,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
579,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
580,6,"1",0.996411245219544,0.00159376011288139,0.00199499466757465
581,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
582,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
583,23,"3",0.0994959895897134,0.413683629235366,0.486820381174921
584,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
585,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
586,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
587,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
588,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
589,22,"2",0.0177219133481277,0.162782674427026,0.819495412224847
590,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
591,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
592,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
593,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
594,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
595,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
596,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
597,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
598,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
599,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
600,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
601,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
