"observation","map_component","hour","sin_1","cos_1","sin_2","cos_2"
223,"2",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
224,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
225,"2",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
226,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
227,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
228,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
229,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
230,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
231,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
232,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
233,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
234,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
235,"2",0,0,1,0,1
236,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
237,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
238,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
239,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
240,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
241,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
242,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
243,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
244,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
245,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
246,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
247,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
248,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
249,"3",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
250,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
251,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
252,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
253,"3",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
254,"2",0,0,1,0,1
255,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
256,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
257,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
258,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
259,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
260,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
261,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
262,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
263,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
264,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
265,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
266,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
267,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
268,"1",0,0,1,0,1
269,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
270,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
271,"3",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
272,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
273,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
274,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
275,"3",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
276,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
277,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
278,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
279,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
280,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
281,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
282,"2",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
283,"1",17,-0.965925826289068,-0.258819045102521,0.5,-0.866025403784439
284,"1",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
285,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
286,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
287,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
288,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
289,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
290,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
291,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
292,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
293,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
294,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
295,"1",0,0,1,0,1
296,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
297,"1",10,0.5,-0.866025403784439,-0.866025403784439,0.5
298,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
299,"2",0,0,1,0,1
300,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
301,"3",21,-0.707106781186548,0.707106781186547,-1,-4.28626379701574e-16
302,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
303,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
304,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
305,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
306,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
307,"1",7,0.965925826289068,-0.258819045102521,-0.5,-0.866025403784439
